마번,마명,모마성적
31297,그랜드보닛,6전(0/0/0)
31298,더블브릴리언트,39전(2/5/7)
31310,구글렛,9전(2/1/0)
31314,백두캣,9전(1/2/0)
31317,텐자스팔미라,17전(4/2/2)
31375,드림갤러퍼,3전(0/0/0)
31427,스페셜로드힐,33전(2/8/3)
31456,보자르,19전(4/3/2)
31482,다이아걸,14전(3/2/1)
31483,플리트비체,22전(4/2/2)
31493,파워앤스피드,18전(5/1/1)
31520,특급이,0전(0/0/0)
31523,폴리아스,0전(0/0/0)
31551,스마트타임,21전(5/5/1)
31557,질풍당당,7전(1/1/1)
31588,어거스트러쉬,16전(5/0/2)
31609,호루라기,25전(4/3/4)
31633,듀앨폭풍,18전(1/0/2)
31642,에코블루,15전(5/3/3)
31643,해피투데이,49전(1/11/2)
31670,릴리브라보,0전(0/0/0)
31685,금순이검지,21전(1/5/1)
31687,비호바람,23전(3/3/1)
31706,대왕대비,6전(0/0/0)
31761,해운대기상,10전(3/2/1)
31780,꿈캐라,13전(3/3/3)
31792,샤인클로버,23전(1/7/5)
31816,위즈스파크,19전(4/1/1)
31824,미래여제,1전(0/0/0)
31834,연승불패,8전(0/1/0)
31866,오션블루,18전(3/1/1)
31901,에이스마린,7전(2/0/3)
31973,오피서레이디,2전(0/0/1)
31992,너와기쁨을,8전(1/0/2)
31996,메니머니,27전(8/6/5)
32006,월드퀵,34전(3/6/4)
32054,그레이스,24전(4/2/1)
32060,월드퀸,30전(3/5/6)
32087,퀸위너,13전(1/1/0)
32113,럭키하트,37전(4/2/5)
32115,굿스타트,6전(2/0/1)
32119,그랜드캠프,14전(3/3/2)
32127,럭키뮤직,27전(4/3/5)
32129,샤프게일,30전(6/7/2)
32137,일망무제,17전(3/4/1)
32210,퀸크릭캣,28전(7/4/3)
32214,행운누리,33전(3/1/1)
32217,스위트일루전,9전(0/2/1)
32227,서라벌공주,15전(3/7/1)
32237,레전드비긴,0전(0/0/0)
32239,천년의기쁨,22전(6/3/1)
32261,인디언파크,15전(3/2/0)
32285,골드웨이브,27전(4/6/3)
32317,로열제이,4전(1/0/2)
32372,인비엑티브,23전(3/8/4)
32396,주얼리파티,26전(5/5/2)
32471,포트스덕션,10전(1/1/0)
32489,스마일퀸,24전(2/6/0)
32490,금수봉,11전(3/4/1)
32502,콜미레이서,1전(0/0/0)
32517,지봉사랑,18전(4/3/2)
32518,골드마인,4전(1/2/0)
32550,희망로켓,16전(4/0/2)
32556,한라의돌풍,19전(1/1/1)
32568,인디언스타,29전(11/4/3)
32601,클린업시드,33전(1/3/1)
32602,클린업비전,14전(3/2/0)
32605,아르고챔프,21전(4/3/3)
32616,프로포즈,20전(4/4/1)
32623,미미의오자매,16전(2/1/2)
32651,라이언갤러퍼,16전(2/3/3)
32678,라비치스,2전(0/0/0)
32688,미즈마고,38전(5/11/8)
32689,알파여신,4전(0/0/0)
32721,얼짱불패,12전(0/2/2)
32759,한라축제,38전(5/6/2)
32760,톱프리티,25전(0/0/2)
32775,셀럽,12전(1/1/0)
32819,홍바오,15전(2/1/2)
32847,빛의여왕,19전(1/0/1)
32878,템플테이션,0전(0/0/0)
32900,도원결의,14전(2/2/2)
32914,미스로브,9전(2/0/0)
32915,인디언명운,7전(1/0/1)
32925,질풍대세,21전(4/2/1)
32940,펠라피네,4전(0/0/0)
32942,걸인스타일,4전(0/0/0)
32943,유아더베스트,3전(0/0/0)
32944,팬시폴리,8전(1/0/1)
32945,후즈퍼펙트,40전(3/4/5)
32953,불굴의투사,24전(2/2/3)
32955,금포여장군,33전(2/2/3)
32968,산타마리,37전(1/1/4)
32986,캔디스골드,9전(0/1/3)
32992,회오리바람,7전(0/0/0)
33016,디렉션,2전(1/0/1)
33017,월드클래스Ⅱ,2전(0/0/0)
33022,그리자이,12전(1/1/1)
33025,스마티코타,8전(2/3/1)
33029,로렌브레이,18전(4/3/0)
33030,허드잇비포,0전(0/0/0)
33032,패티즈스위트송,9전(1/1/1)
33033,투디엔드어브디어,13전(2/2/3)
33036,미스다이앤,22전(5/5/2)
